count,cite,rank,year
13,"Rosenbaum P 1983 Biometrika",118,1983
13,"Amato P 2000 J Marriage Fam",118,2000
13,"Kennedy S 2008 Demogr Res",118,2008
13,"Raftery A 1995 Sociol Methodol",118,1995
13,"Maruna S 2001 Making Good Exconvic",118,2001
13,"Bryk A 1992 Hierarchical Linear",118,1992
13,"Pearlin L 1981 J Health Soc Behav",118,1981
13,"Sewell W 1969 Am Sociol Rev",118,1969
13,"Royston P 2005 Stata J",118,2005
13,"Lin N 2001 Social Capital Theor",118,2001
13,"Putnam R 2010 Am Grace Relig Divid",118,2010
13,"Simon J 2007 Governing Crime War",118,2007
13,"Connell R 2005 Gender Soc",118,2005
12,"Mills C 1940 Am Sociol Rev",136,1940
12,"Rossi A 1990 Human Bonding",136,1990
12,"Burt R 1992 Structural Holes Str",136,1992
12,"Dimaggio P 1997 Annu Rev Sociol",136,1997
12,"Morris A 1984 Origins Civil Rights",136,1984
12,"Ammerman N 2005 Pillars Faith Am Con",136,2005
12,"Kanter R 1977 Men Women Corporatio",136,1977
12,"Lofland J 2006 Anal Social Settings",136,2006
12,"Tilly C 1978 Mobilization Revolut",136,1978
12,"Bourdieu P 1986 Hdb Theory Res Socio",136,1986
12,"Becker H 1982 Art Worlds Berkeley",136,1982
12,"Becker H 1963 Outsiders Studies SO",136,1963
12,"Esping-andersen G 1999 Social Fdn Postindus",136,1999
12,"Anderson B 1991 Imagined Communities",136,1991
12,"Dimaggio P 1982 Media Cult Soc",136,1982
12,"Powell W 1991 New I Org Anal",136,1991
12,"Chaves M 2004 Congregations AM",136,2004
12,"Qian Z 2007 Am Sociol Rev",136,2007
12,"Collins P 2000 Black Feminist Knowl",136,2000
12,"Jacobs J 2004 Time Divide Work Fam",136,2004
12,"Waite L 1995 Demography",136,1995
12,"Pearlin L 1989 J Health Soc Behav",136,1989
12,"Pascoe C 2007 Dude",136,2007
12,"Feld S 1981 Am J Sociol",136,1981
12,"Wellman B 1990 Am J Sociol",136,1990
12,"Snow D 1987 Am J Sociol",136,1987
12,"Williams D 1995 Annu Rev Sociol",136,1995
12,"Allison P 2001 Missing Data",136,2001
12,"Sykes G 1957 Am Sociol Rev",136,1957
12,"Beck U 1992 Risk Soc New Moderni",136,1992
12,"Cherlin A 2004 J Marriage Fam",136,2004
12,"Stack C 1974 All Our Kin",136,1974
12,"Edgell P 2006 Am Sociol Rev",136,2006
11,"Mcadam D 1996 Comp Perspectives SO",169,1996
11,"Lareau A 1988 Sociological Theory",169,1988
11,"Waite L 2000 Case Marriage Why MA",169,2000
11,"Mclanahan S 2008 Annu Rev Sociol",169,2008
11,"Smock P 2000 Annu Rev Sociol",169,2000
11,"Polletta F 2001 Annu Rev Sociol",169,2001
11,"Miles M 1994 Qualitative Data Ana",169,1994
11,"Merton R 1938 Am Sociol Rev",169,1938
11,"Emerson M 2000 Divided Faith Evange",169,2000
11,"Portes A 2006 Immigrant America: A Portrait",169,2006
11,"Garland D 1990 Punishment Modern SO",169,1990
11,"Smith C 2005 Soul Searching Relig",169,2005
11,"Hunter J 1991 Culture Wars Struggl",169,1991
11,"Abbott A 1988 System Professions S",169,1988
11,"Bianchi S 2006 Changing Rythms Am F",169,2006
11,"Paternoster R 1998 Criminology",169,1998
11,"Oppenheimer V 1988 Am J Sociol",169,1988
11,"Coleman J 1961 Adolescent Soc",169,1961
11,"Snijders T 2001 Sociol Methodol",169,2001
11,"Quillian L 2003 Am Sociol Rev",169,2003
11,"Yang Y 2006 Sociol Methodol",169,2006
11,"Stark R 1985 Future Relig",169,1985
11,"Feeley M 1992 Criminology",169,1992
11,"Little R 2002 Stat Anal Missing DA",169,2002
11,"Berkman L 2000 Soc Sci Med",169,2000
10,"Sykes G 1958 Soc Captives Study M",194,1958
10,"Kalleberg A 2000 Am Sociol Rev",194,2000
10,"Fomby P 2007 Am Sociol Rev",194,2007
10,"Roof W 1987 Am Mainline Relig IT",194,1987
10,"Thornton A 2001 J Marriage Fam",194,2001
10,"Coltrane S 2000 J Marriage Fam",194,2000
10,"Sayer L 2004 Am J Sociol",194,2004
10,"Ruggles S 2010 Integrated Public US",194,2010
10,"Duneier M 1999 Sidewalk",194,1999
10,"Pettit B 2004 Am Sociol Rev",194,2004
10,"Parsons T 1951 Social System",194,1951
10,"Erikson R 1992 Constant Flux Study",194,1992
10,"Wuthnow R 1988 Restructuring Am Rel",194,1988
10,"Frank D 2000 Am Sociol Rev",194,2000
10,"Finke R 1992 Churching Am 1776 19",194,1992
10,"Scott M 1968 Am Sociol Rev",194,1968
10,"Smith C 2003 J Sci Stud Relig",194,2003
10,"Kao G 2003 Annu Rev Sociol",194,2003
10,"Fischer C 1982 Dwell Friends Person",194,1982
10,"Cook K 1978 Am Sociol Rev",194,1978
10,"Mcadam D 1988 Freedom Summer",194,1988
10,"Allison P 2009 Fixed Effects Regres",194,2009
10,"Pager D 2007 Marked Race Crime FI",194,2007
10,"Dimaggio P 1987 Am Sociol Rev",194,1987
10,"Wirth L 1938 Am J Sociol",194,1938
10,"Taylor V 1992 Frontiers Social Mov",194,1992
10,"Beckett K 1997 Making Crime Pay",194,1997
10,"Nock S 1995 J Fam Issues",194,1995
10,"Strauss A 1987 Qualitative Anal",194,1987
10,"Weber M 1978 EC Soc Outline Inter",194,1978
10,"Collins P 2004 Black Sexual Politic",194,2004
10,"Portes A 1993 Am J Sociol",194,1993
10,"Bollen K 1989 Structural Equations",194,1989
10,"Budig M 2001 Am Sociol Rev",194,2001
10,"Oppenheimer V 1997 Annu Rev Sociol",194,1997
10,"Hout M 2002 Am Sociol Rev",194,2002
10,"Taylor C 2007 Secular Age",194,2007
10,"Mills C 1959 Sociological Imagina",194,1959
10,"Casanova J 1994 Public Relig Modern",194,1994
10,"Gramsci A 1971 Selections Prison NO",194,1971
10,"Greene W 2003 Econometric Anal Pea",194,2003
10,"Bennett T 2009 Cult Econ Soc",194,2009
10,"Geertz C 1973 Interpretation Cultu",194,1973
10,"Paxton P 1999 Am J Sociol",194,1999
10,"Taylor M 1998 Am Sociol Rev",194,1998
10,"Schwartz C 2005 Demography",194,2005
10,"Durkheim E 1995 Elementary Forms Rel",194,1995
10,"Olson M 1965 Logic Collective Act",194,1965
10,"Inglehart R 2000 Am Sociol Rev",194,2000
10,"Crewe B 2009 Prisoner Soc Power A",194,2009
10,"Akers R 1998 Social Learning Soci",194,1998
10,"Lin N 1999 Annu Rev Sociol",194,1999
9,"Schwalbe M 1996 Adv Group",246,1996
9,"Weber M 1968 EC Soc",246,1968
9,"Haynie D 2005 Soc Forces",246,2005
9,"Schwalbe M 2000 Soc Forces",246,2000
9,"Mills C 1956 Power Elite",246,1956
9,"Hirschi T 1983 Am J Sociol",246,1983
9,"Quillian L 1995 Am Sociol Rev",246,1995
9,"Wilson M 1993 Violence Vict",246,1993
9,"Becker P 1999 Congregations Confli",246,1999
9,"Menjivar C 2000 Fragmented Ties Salv",246,2000
9,"Tilly C 2008 Contentious Performa",246,2008
9,"Williams J 2000 Unbending Gender Why",246,2000
9,"Bourdieu P 2000 Pascalian Meditation",246,2000
9,"Schofer E 2005 Soc Forces",246,2005
9,"Massey D 2002 Smoke Mirrors Mexica",246,2002
9,"Nomaguchi K 2003 J Marriage Fam",246,2003
9,"Melucci A 1989 Nomads Present",246,1989
9,"Massey D 1997 Am J Sociol",246,1997
9,"Blau J 1982 Am Sociol Rev",246,1982
9,"Snijders T 2010 Soc Networks",246,2010
9,"Bursik J 1993 Neighborhoods Crime",246,1993
9,"Olzak S 1992 Dynamics Ethnic Comp",246,1992
9,"Goffman E 1971 Relations Public Mic",246,1971
9,"Wildeman C 2010 Soc Forces",246,2010
9,"Mirowsky J 2003 ED Social Status Hlt",246,2003
9,"Orbuch T 1997 Annu Rev Sociol",246,1997
9,"Merton R 1968 Social Theory Social",246,1968
9,"Bengtson V 2001 J Marriage Fam",246,2001
9,"Cohen A 1955 Delinquent Boys",246,1955
9,"Mcadam D 1999 Political Process DE",246,1999
9,"Rogers W 1993 Stata Technical B",246,1993
9,"Wasserman S 1996 Psychometrika",246,1996
9,"House J 1988 Science",246,1988
9,"Holstein J 2000 Self WE Live",246,2000
9,"Skocpol T 1979 States Social Revolu",246,1979
9,"Gould R 1995 Insurgent Identities",246,1995
9,"Ridgeway C 2004 Gender Soc",246,2004
9,"Giordano P 2002 Am J Sociol",246,2002
9,"Mccarthy J 1977 Am J Sociol",246,1977
9,"Simmel G 1950 Sociology G Simmel",246,1950
9,"Logan J 1987 Urban Fortunes",246,1987
9,"Patton M 2002 Qualitative Res Res",246,2002
9,"Sutherland E 1947 Principles Criminolo",246,1947
9,"Anderson E 1990 Streetwise Race Clas",246,1990
9,"Soskice D 2001 Varieties Capitalism",246,2001
9,"Butler J 1990 Gender Trouble",246,1990
9,"Acker J 1990 Gender Soc",246,1990
9,"Goffman E 1963 Behav Public Places",246,1963
9,"Fligstein N 2001 Architecture Markets",246,2001
9,"Petersilia J 2003 Prisoners Return Com",246,2003
9,"Comfort M 2008 Doing Time Together",246,2008
9,"Wildeman C 2009 Demography",246,2009
9,"Pargament K 1997 Psychol Relig Coping",246,1997
9,"Stryker S 2000 Soc Psychol Quart",246,2000
9,"Angrist J 2009 Mostly Harmless Econometrics: AN Empiricists Companion",246,2009
9,"Hochschild A 2003 Commercialization IN",246,2003
9,"Moon D 2004 God Sex Politics Hom",246,2004
9,"Sampson R 1999 Am Sociol Rev",246,1999
9,"Gross N 2009 Am Sociol Rev",246,2009
9,"Latour B 2005 Reassembling Social",246,2005
9,"Tarrow S 1994 Power Movement",246,1994
8,"Preacher K 2008 Behav Res Methods",307,2008
8,"Schrock D 2009 Annu Rev Sociol",307,2009
8,"Heider F 1958 Psychol Interpersona",307,1958
8,"Allison P 1999 Sociol Method Res",307,1999
8,"Geller A 2011 Demography",307,2011
8,"Finer L 2006 Perspect Sex Repro H",307,2006
8,"Lichter D 2007 Rural Sociol",307,2007
8,"Bentler P 1990 Psychol Bull",307,1990
8,"Beyerlein K 2005 Soc Forces",307,2005
8,"Burt R 2005 Brokerage Closure IN",307,2005
8,"Huffman M 2004 Am J Sociol",307,2004
8,"Ryder N 1965 Am Sociol Rev",307,1965
8,"Dimaggio P 2004 Poetics",307,2004
8,"Link B 1989 Am Sociol Rev",307,1989
8,"Wilson M 1988 Homicide",307,1988
8,"Granovetter M 1985 Sociology",307,1985
8,"Brown S 1996 J Marriage Fam",307,1996
8,"Allison P 1995 Survival Anal Using",307,1995
8,"Morris M 1999 Annu Rev Sociol",307,1999
8,"Mouw T 2006 Am J Sociol",307,2006
8,"Winship C 1994 Sociol Method Res",307,1994
8,"Warner R 1993 Am J Sociol",307,1993
8,"Halaby C 2004 Annu Rev Sociol",307,2004
8,"Agnew R 1992 Criminology",307,1992
8,"Logan J 2004 Demography",307,2004
8,"Paxton P 2002 Am Sociol Rev",307,2002
8,"Sweeney M 2002 Am Sociol Rev",307,2002
8,"Friedland R 1991 New I Org Anal",307,1991
8,"Wacquant L 2004 Body Soul Notebooks",307,2004
8,"Katz J 1988 Seductions Crime Sen",307,1988
8,"Duranti A 2012 Division Labor Soc",307,2012
8,"Scott J 1990 Domination Arts Resi",307,1990
8,"Becker G 1964 Human Capital Theore",307,1964
8,"Mcadam D 1986 Am J Sociol",307,1986
8,"Conley D 1999 Being Black Living R",307,1999
8,"Kalev A 2006 Am Sociol Rev",307,2006
8,"Smith C 2003 Moral Believing Anim",307,2003
8,"Zerubavel E 1997 Social Mindscapes IN",307,1997
8,"Bianchi S 2000 Soc Forces",307,2000
8,"Bandura A 1977 Social Learning Theo",307,1977
8,"Umberson D 2010 J Marriage Fam",307,2010
8,"Charles C 2003 Annu Rev Sociol",307,2003
8,"Boli J 1997 Am Sociol Rev",307,1997
8,"Keck M 1998 Activists Borders",307,1998
8,"Emerson R 1972 Sociological Theorie",307,1972
8,"Allison P 2005 Fixed Effects Regr M",307,2005
8,"Lichterman P 2005 Princ Stud Cult",307,2005
8,"Hallett T 2010 Am Sociol Rev",307,2010
8,"Jasper J 1997 Art Moral Protest CU",307,1997
8,"Hogan D 1993 Am J Sociol",307,1993
8,"Loftus J 2001 Am Sociol Rev",307,2001
8,"Farley R 1994 Am Sociol Rev",307,1994
8,"Hafner-burton E 2005 Am J Sociol",307,2005
8,"Schofer E 2005 Am Sociol Rev",307,2005
8,"Gieryn T 2000 Annu Rev Sociol",307,2000
8,"Polanyi K 1944 Great Transformation",307,1944
8,"Braman D 2004 Doing Time Outside I",307,2004
8,"Smock P 2005 J Marriage Fam",307,2005
8,"Foucault M 1995 Forms Talk",307,1995
8,"Rose N 2007 Politics of Life Itself: Biomedicine",307,2007
8,"Stolzenberg R 1995 Am Sociol Rev",307,1995
8,"Douglas M 1966 Purity Danger Anal C",307,1966
8,"Massey D 1990 Am J Sociol",307,1990
8,"Martin J 2009 Social Structures",307,2009
8,"Connell R 2005 Masculinities",307,2005
8,"Vaisey S 2010 Soc Forces",307,2010
8,"Marsden P 1987 Am Sociol Rev",307,1987
8,"Qian Z 1997 Demography",307,1997
8,"Lieberson S 1980 Piece Pie Blacks Whi",307,1980
8,"Mcpherson J 2001 Annu Rev Sociol",307,2001
8,"Ferraro K 1995 Fear Crime Interpret",307,1995
8,"Wacquant L 2009 Punishing Poor Neoli",307,2009
8,"Warr M 2002 Companions Crime Soc",307,2002
8,"Sarkisian N 2008 J Marriage Fam",307,2008
8,"Pachucki M 2007 Poetics",307,2007
8,"Huber E 2001 Dev Crisis Welfare S",307,2001
8,"Barth F 1969 Ethnic Groups Bound",307,1969
8,"Bettie J 2003 Women Class Girls RA",307,2003
8,"Collins R 1979 Credential Soc Hist",307,1979
8,"Lawler E 2008 Am Sociol Rev",307,2008
8,"Inglehart R 1990 Culture Shift Adv IN",307,1990
8,"Bourdieu P 2005 Social Structures EC",307,2005
8,"Beckfield J 2003 Am Sociol Rev",307,2003
8,"Parrenas R 2001 Servants Globalizati",307,2001
7,"Osgood D 1996 Am Sociol Rev",391,1996
7,"Almond G 1963 Civic Culture Politi",391,1963
7,"Mcpherson M 2006 Am Sociol Rev",391,2006
7,"Wacquant L 2008 Urban Outcasts Comp",391,2008
7,"Venkatesh S 2000 Am Project",391,2000
7,"Zhou M 1997 Annu Rev Sociol",391,1997
7,"Ridgeway C 1997 Am Sociol Rev",391,1997
7,"Zhou M 1997 Int Migr Rev",391,1997
7,"Smith C 2009 Souls Transition Rel",391,2009
7,"Clemens E 1999 Annu Rev Sociol",391,1999
7,"Murray J 2008 Crime Justice",391,2008
7,"Statacorp 2007 Stat Stat Sofw Vers",391,
7,"Allison P 1990 Sociol Methodol",391,1990
7,"Blair-loy M 2003 Competing Devotions",391,2003
7,"Norris P 2004 Sacred Secular Relig",391,2004
7,"Kalmijn M 2007 Demography",391,2007
7,"Umberson D 1987 J Health Soc Behav",391,1987
7,"South S 1994 Am Sociol Rev",391,1994
7,"Giordano P 2010 Legacies Crime Follo",391,2010
7,"Scambler G 2009 Sociol Health Ill",391,2009
7,"Cohen S 2004 Am Psychol",391,2004
7,"Harris A 2010 Am J Sociol",391,2010
7,"Swisher R 2008 J Fam Issues",391,2008
7,"Anselin L 1988 Spatial Econometrics",391,1988
7,"Mare R 1991 Am Sociol Rev",391,1991
7,"Brown M 1993 Testing Structural E",391,1993
7,"Durkheim E 1965 Elementary Forms Rel",391,1965
7,"Feagin J 2010 White Racial Frame C",391,2010
7,"Mouw T 2003 Am Sociol Rev",391,2003
7,"Meyer D 1996 Am J Sociol",391,1996
7,"Steglich C 2010 Sociol Methodol",391,2010
7,"Kasinitz P 2008 Inheriting City Chil",391,2008
7,"Becker G 1968 J Polit Econ",391,1968
7,"Goffman A 2009 Am Sociol Rev",391,2009
7,"Muthen L 2007 Mplus Users Guide",391,2007
7,"Murray J 2005 J Child Psychol Psyc",391,2005
7,"Williams D 2001 Public Health Rep",391,2001
7,"Horwitz A 1996 J Marriage Fam",391,1996
7,"Mcadam D 1996 Comp Perspectives SO",391,1996
7,"Hall P 2001 Varieties Capitalism",391,2001
7,"Epstein S 1996 Impure Sci Aids Acti",391,1996
7,"Inglehart R 1997 Modernization Postmo",391,1997
7,"Granovetter M 1974 Getting Job Study CO",391,1974
7,"Breen R 1997 Ration Soc",391,1997
7,"Massey D 1985 Sociol Soc Res",391,1985
7,"Bail C 2008 Am Sociol Rev",391,2008
7,"Agnew R 2006 Pressured Crime Over",391,2006
7,"Uslaner E 2002 Moral Fdn Trust",391,2002
7,"Thornton A 1992 Am J Sociol",391,1992
7,"Hagan J 1999 Crime Justice",391,1999
7,"Ellison C 1993 Soc Forces",391,1993
7,"Wuthnow R 1991 Acts Compassion Cari",391,1991
7,"Clarkberg M 1995 Soc Forces",391,1995
7,"Chiricos T 2001 Soc Probl",391,2001
7,"Evans P 1995 Embedded Autonomy ST",391,1995
7,"World B 2008 World Dev Rep A",391,2008
7,"Lopoo L 2005 J Marriage Fam",391,2005
7,"Mouw T 2006 Annu Rev Sociol",391,2006
7,"Simmel G 1950 Sociology G Simmel",391,1950
7,"Bryson B 1996 Am Sociol Rev",391,1996
7,"Morenoff J 2001 Criminology",391,2001
7,"Foster H 2007 Soc Probl",391,2007
7,"Bourdieu P 1979 Inheritors French ST",391,1979
7,"Schafer J 2002 Psychol Methods",391,2002
7,"Townsend N 2002 Package Deal",391,2002
7,"Hernandezleon R 2008 Metropolitan Migrants: the Migration of Urban Mexicans TO the United States",391,2008
7,"Sampson R 2008 Demography",391,2008
7,"Hacker J 2006 Great Risk Shift",391,2006
7,"Ross C 1995 Am Sociol Rev",391,1995
7,"Alderson A 2002 Am J Sociol",391,2002
7,"Eliasoph N 2003 Am J Sociol",391,2003
7,"Diprete T 2006 Annu Rev Sociol",391,2006
7,"Correll S 2001 Am J Sociol",391,2001
7,"Sampson R 2008 Am J Sociol",391,2008
7,"Iannaccone L 1994 Am J Sociol",391,1994
7,"Western B 2008 Am Sociol Rev",391,2008
7,"Mayer S 1990 Inner City Poverty U",391,1990
7,"Matten D 2008 Acad Manage Rev",391,2008
7,"Coleman J 1966 Equality ED Opportun",391,1966
7,"Astone N 1991 Am Sociol Rev",391,1991
7,"Land K 1990 Am J Sociol",391,1990
7,"Lauderdale D 2001 Demography",391,2001
7,"Lynch S 2003 Demography",391,2003
7,"Somers M 1994 Theor Soc",391,1994
7,"Waldfogel J 1997 Am Sociol Rev",391,1997
7,"Turner V 1969 Ritual Process Struc",391,1969
7,"Elder G 1994 Soc Psychol Quart",391,1994
7,"Stryker S 1980 Symbolic Interaction",391,1980
7,"Sobel M 1982 Sociol Methodol",391,1982
7,"Biblarz T 2010 J Marriage Fam",391,2010
7,"Dimaggio P 1996 Am J Sociol",391,1996
7,"Martin J 2003 Am J Sociol",391,2003
7,"Vaisey S 2008 Sociol Forum",391,2008
7,"Mckinney K 2004 Liberal Learning Soc",391,2004
7,"Thye S 2000 Am Sociol Rev",391,2000
7,"Gellner E 1983 Nations Natl",391,1983
7,"Moffitt T 1993 Psychol Rev",391,1993
7,"Mclanahan S 2004 Demography",391,2004
7,"Habermas J 1984 Theory Communicative",391,1984
7,"Koopmans R 1995 New Social Movements",391,1995
7,"Bourdieu P 1991 Language Symbolic PO",391,1991
7,"Goldstein J 2001 Am Sociol Rev",391,2001
7,"Lawler E 1996 Am Sociol Rev",391,1996
7,"Willis P 1977 Learning Labour Work",391,1977
7,"Pager D 2008 Annu Rev Sociol",391,2008
7,"Gamson W 1975 Strategy Social Prot",391,1975
7,"Zhou M 1998 Growing Am Vietnames",391,1998
7,"Frickel S 2005 Am Sociol Rev",391,2005
7,"Kollock P 1998 Annu Rev Sociol",391,1998
7,"Inglehart R 1977 Silent Revolution CH",391,1977
7,"Durkheim E 1982 Rules Sociological M",391,1982
7,"Lofland J 1995 Anal Social Settings",391,1995
7,"Bianchi S 2000 Demography",391,2000
7,"Krivo L 1996 Soc Forces",391,1996
7,"Putnam R 2007 Scand Polit Stud",391,2007
7,"Fourcade-gourinchas M 2002 Am J Sociol",391,2002
7,"Heuveline P 2001 Demography Measuring",391,2001
7,"Braithwaite J 1989 Crime Shame Reintegr",391,1989
7,"Tilly C 1998 Durable Inequality",391,1998
7,"Kandel D 1978 Am J Sociol",391,1978
7,"Greenhaus J 1985 Acad Manage Rev",391,1985
7,"Jorgenson A 2009 Soc Probl",391,2009
7,"Lin N 1981 Am Sociol Rev",391,1981
7,"Bittman M 2003 Am J Sociol",391,2003
7,"HU L 1999 Struct Equ Modeling",391,1999
7,"Bruce S 2002 God IS Dead",391,2002
7,"Evenson R 2005 J Health Soc Behav",391,2005
7,"York R 2003 Am Sociol Rev",391,2003
7,"Machung A 1989 2 Shift",391,1989
7,"Wakefield S 2010 Annu Rev Sociol",391,2010
7,"Peterson R 1997 Creating Country Mus",391,1997
7,"Buchmann C 2006 Am Sociol Rev",391,2006
7,"Hindelang M 1978 Victims Personal Cri",391,1978
7,"Bourdieu P 1977 Reprod ED Soc Cultur",391,1977
7,"Quillian L 2006 Annu Rev Sociol",391,2006
7,"Tarrow S 1998 Social Movement Soc",391,1998
7,"Fourcade M 2007 Annu Rev Sociol",391,2007
7,"Carlson M 2004 Demography",391,2004
7,"Manning W 2004 Popul Res Policy Rev",391,2004
7,"Fussell E 2004 Demography",391,2004
7,"Allison P 1999 Logistic Regression",391,1999
7,"England P 2010 Gender Soc",391,2010
7,"Brines J 1999 Am Sociol Rev",391,1999
